food;price
Geleia Francesa de Pêssego ST. DALFOUR Vidro 284g;28.79
Macarrão Italiano Capelli d' Angelo DE CECCO 500g;20.49
Salame Italiano Grande Fatiado SEARA Bandeja 150g;12.00
Frango Inteiro Temperado com Legumes Assa Fácil SEARA Pacote 1,8kg;21.42
Molho Premium SAKURA 500ml;19.79
Maçã Verde Importada a Granel 700g ;8.25
Frango Inteiro de Granja Seara 2,2kg;21.32
Macarrão de Sêmola Grano Duro Integral Espaguete 8 Renata Superiore Pacote 500g;6.29
Presunto Defumado SEARA GOURMET Fatiado Bandeja 150g;7.35
Presunto Royal SEARA Gourmet Fatiado 150g;7.95
Manga Haden com 2 unidades;10.82
Waffles GULI GULI 290g;15.75
Sorvete de Baunilha HÄAGEN DAZS Pote 473ml;45.99
Salsicha de Frango PERDIGÃO 500g;10.49
Chocolate NESTLÉ Chokito 32g;1.99
Polvilho Azedo YOKI Pacote 500g;10.99
Margarina sem sal Doriana 500g;5.59
Molho de Pimenta Americano Garlic Pepper TABASCO 60ml;19.99
Molho de Pimenta Vermelha KNORR CICA Vidro 150ml;6.19
Salmão Defumado Congelado GRAVLAX DAMM Caixa 100g;20.99
Macarrão de Sêmola Grano Duro Fusilli Renata Superiore Pacote 500g;7.39
Macarrão de Sêmola Grano Duro Penne Renata Superiore Pacote 500g;7.39
Melão Verde Unidade;13.38
Biscoito PIRAQUÊ Salgadinho Pacote 100g;4.15
Macarrão com Ovos Caseiro para Lasanha DE 500g;8.79
Pickles Misto em Conserva LUCA Vidro 500g;13.99
Sobremesa MOÇA Beijinho NESTLÉ Lata 365g;10.79
Doce de Brigadeiro Moça NESTLÉ Lata 385g;10.79
Mistura para Pão de Queijo YOKI Pacote 250g;6.79
Bicarbonato de Sódio KITANO Pacote 30g;1.95
Banana Maçã Bandeja 400g;11.43
Macarrão de Sêmola Ninho 2 GALO 500g;4.29
Bife Vegetal SUPERBOM Lata 300g;12.99
Salsicha Vegetal SUPERBOM Lata 300g;15.29
Farinha de Trigo Especial com Fermento DONA BENTA Pacote 1kg;5.59
Essência de Rum Dr. OETKER Vidro 30ml;9.49
Gordura Vegetal Primor Pacote 500g;8.59
Sopa de Carne com Conchinhas MAGGI Pacote 63g;5.99
